Iteration,Num_Features,Feature_Indices,Accuracy
1,11,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",74.8
1,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",72.4
1,11,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12]",76.2
1,11,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",76.4
1,11,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12]",76.2
1,11,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",76.4
1,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",73.8
1,11,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12]",76.0
1,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",76.6
1,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]",75.4
1,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]",76.4
1,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",77.2
2,10,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",76.6
2,10,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",72.2
2,10,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]",79.2
2,10,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",74.8
2,10,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",77.4
2,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",75.8
2,10,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",75.0
2,10,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]",78.0
2,10,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",77.2
2,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",76.4
2,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",76.4
3,9,"[2, 4, 5, 6, 7, 8, 9, 10, 11]",80.4
3,9,"[1, 4, 5, 6, 7, 8, 9, 10, 11]",73.4
3,9,"[1, 2, 5, 6, 7, 8, 9, 10, 11]",75.2
3,9,"[1, 2, 4, 6, 7, 8, 9, 10, 11]",78.6
3,9,"[1, 2, 4, 5, 7, 8, 9, 10, 11]",77.2
3,9,"[1, 2, 4, 5, 6, 8, 9, 10, 11]",78.6
3,9,"[1, 2, 4, 5, 6, 7, 9, 10, 11]",80.8
3,9,"[1, 2, 4, 5, 6, 7, 8, 10, 11]",79.4
3,9,"[1, 2, 4, 5, 6, 7, 8, 9, 11]",79.4
3,9,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",79.6
4,8,"[2, 4, 5, 6, 7, 9, 10, 11]",79.0
4,8,"[1, 4, 5, 6, 7, 9, 10, 11]",75.0
4,8,"[1, 2, 5, 6, 7, 9, 10, 11]",77.6
4,8,"[1, 2, 4, 6, 7, 9, 10, 11]",77.0
4,8,"[1, 2, 4, 5, 7, 9, 10, 11]",80.8
4,8,"[1, 2, 4, 5, 6, 9, 10, 11]",80.0
4,8,"[1, 2, 4, 5, 6, 7, 10, 11]",79.6
4,8,"[1, 2, 4, 5, 6, 7, 9, 11]",81.4
4,8,"[1, 2, 4, 5, 6, 7, 9, 10]",80.2
5,7,"[2, 4, 5, 6, 7, 9, 11]",79.6
5,7,"[1, 4, 5, 6, 7, 9, 11]",77.6
5,7,"[1, 2, 5, 6, 7, 9, 11]",78.2
5,7,"[1, 2, 4, 6, 7, 9, 11]",79.2
5,7,"[1, 2, 4, 5, 7, 9, 11]",80.0
5,7,"[1, 2, 4, 5, 6, 9, 11]",82.8
5,7,"[1, 2, 4, 5, 6, 7, 11]",83.2
5,7,"[1, 2, 4, 5, 6, 7, 9]",79.6
6,6,"[2, 4, 5, 6, 7, 11]",85.4
6,6,"[1, 4, 5, 6, 7, 11]",75.4
6,6,"[1, 2, 5, 6, 7, 11]",82.6
6,6,"[1, 2, 4, 6, 7, 11]",82.6
6,6,"[1, 2, 4, 5, 7, 11]",81.2
6,6,"[1, 2, 4, 5, 6, 11]",85.8
6,6,"[1, 2, 4, 5, 6, 7]",83.6
7,5,"[2, 4, 5, 6, 11]",87.2
7,5,"[1, 4, 5, 6, 11]",77.0
7,5,"[1, 2, 5, 6, 11]",87.0
7,5,"[1, 2, 4, 6, 11]",82.0
7,5,"[1, 2, 4, 5, 11]",81.8
7,5,"[1, 2, 4, 5, 6]",86.6
8,4,"[4, 5, 6, 11]",75.0
8,4,"[2, 5, 6, 11]",87.2
8,4,"[2, 4, 6, 11]",81.6
8,4,"[2, 4, 5, 11]",90.0
8,4,"[2, 4, 5, 6]",88.6
9,3,"[4, 5, 11]",74.2
9,3,"[2, 5, 11]",93.4
9,3,"[2, 4, 11]",84.0
9,3,"[2, 4, 5]",92.2
10,2,"[5, 11]",76.6
10,2,"[2, 11]",81.2
10,2,"[2, 5]",96.0
11,1,[5],76.6
11,1,[2],85.8
