Iteration,Num_Features,Feature_Indices,Accuracy
1,1,[1],65.7
1,1,[2],67.4
1,1,[3],68.8
1,1,[4],68.1
1,1,[5],68.4
1,1,[6],67.0
1,1,[7],65.7
1,1,[8],68.1
1,1,[9],85.5
1,1,[10],67.3
1,1,[11],65.5
1,1,[12],67.4
1,1,[13],65.9
1,1,[14],66.1
1,1,[15],68.0
1,1,[16],65.5
1,1,[17],65.5
1,1,[18],66.3
1,1,[19],68.1
1,1,[20],70.0
1,1,[21],69.1
1,1,[22],67.1
1,1,[23],65.9
1,1,[24],67.7
1,1,[25],69.0
1,1,[26],67.1
1,1,[27],69.7
1,1,[28],70.7
1,1,[29],66.4
1,1,[30],66.3
1,1,[31],68.0
1,1,[32],67.6
1,1,[33],65.6
1,1,[34],64.7
1,1,[35],67.0
1,1,[36],66.1
1,1,[37],65.8
1,1,[38],66.0
1,1,[39],66.4
1,1,[40],69.4
1,1,[41],65.8
1,1,[42],66.3
1,1,[43],68.3
1,1,[44],69.3
1,1,[45],70.8
1,1,[46],68.9
1,1,[47],67.6
1,1,[48],72.1
1,1,[49],68.5
1,1,[50],67.7
2,2,"[9, 1]",81.9
2,2,"[9, 2]",84.3
2,2,"[9, 3]",83.9
2,2,"[9, 4]",83.8
2,2,"[9, 5]",82.8
2,2,"[9, 6]",83.5
2,2,"[9, 7]",83.8
2,2,"[9, 8]",82.4
2,2,"[9, 10]",83.3
2,2,"[9, 11]",82.7
2,2,"[9, 12]",84.0
2,2,"[9, 13]",82.8
2,2,"[9, 14]",82.7
2,2,"[9, 15]",84.1
2,2,"[9, 16]",82.7
2,2,"[9, 17]",84.2
2,2,"[9, 18]",83.8
2,2,"[9, 19]",81.2
2,2,"[9, 20]",85.5
2,2,"[9, 21]",82.9
2,2,"[9, 22]",85.3
2,2,"[9, 23]",84.6
2,2,"[9, 24]",84.9
2,2,"[9, 25]",83.4
2,2,"[9, 26]",84.2
2,2,"[9, 27]",84.5
2,2,"[9, 28]",81.2
2,2,"[9, 29]",82.4
2,2,"[9, 30]",86.5
2,2,"[9, 31]",84.4
2,2,"[9, 32]",85.0
2,2,"[9, 33]",84.1
2,2,"[9, 34]",82.5
2,2,"[9, 35]",84.5
2,2,"[9, 36]",84.4
2,2,"[9, 37]",84.4
2,2,"[9, 38]",84.9
2,2,"[9, 39]",86.0
2,2,"[9, 40]",84.4
2,2,"[9, 41]",84.6
2,2,"[9, 42]",83.2
2,2,"[9, 43]",84.7
2,2,"[9, 44]",85.2
2,2,"[9, 45]",84.0
2,2,"[9, 46]",84.4
2,2,"[9, 47]",83.9
2,2,"[9, 48]",97.0
2,2,"[9, 49]",84.3
2,2,"[9, 50]",83.3
3,3,"[9, 48, 1]",92.3
3,3,"[9, 48, 2]",92.6
3,3,"[9, 48, 3]",93.4
3,3,"[9, 48, 4]",91.8
3,3,"[9, 48, 5]",91.4
3,3,"[9, 48, 6]",93.2
3,3,"[9, 48, 7]",93.4
3,3,"[9, 48, 8]",92.9
3,3,"[9, 48, 10]",93.3
3,3,"[9, 48, 11]",91.7
3,3,"[9, 48, 12]",91.5
3,3,"[9, 48, 13]",92.6
3,3,"[9, 48, 14]",93.2
3,3,"[9, 48, 15]",93.3
3,3,"[9, 48, 16]",92.2
3,3,"[9, 48, 17]",92.5
3,3,"[9, 48, 18]",93.3
3,3,"[9, 48, 19]",92.6
3,3,"[9, 48, 20]",91.2
3,3,"[9, 48, 21]",92.5
3,3,"[9, 48, 22]",91.2
3,3,"[9, 48, 23]",93.6
3,3,"[9, 48, 24]",92.4
3,3,"[9, 48, 25]",92.5
3,3,"[9, 48, 26]",92.7
3,3,"[9, 48, 27]",91.8
3,3,"[9, 48, 28]",92.9
3,3,"[9, 48, 29]",91.8
3,3,"[9, 48, 30]",92.8
3,3,"[9, 48, 31]",93.3
3,3,"[9, 48, 32]",95.3
3,3,"[9, 48, 33]",94.2
3,3,"[9, 48, 34]",93.1
3,3,"[9, 48, 35]",93.7
3,3,"[9, 48, 36]",93.2
3,3,"[9, 48, 37]",92.3
3,3,"[9, 48, 38]",91.4
3,3,"[9, 48, 39]",93.5
3,3,"[9, 48, 40]",93.0
3,3,"[9, 48, 41]",92.5
3,3,"[9, 48, 42]",91.2
3,3,"[9, 48, 43]",93.2
3,3,"[9, 48, 44]",93.5
3,3,"[9, 48, 45]",92.0
3,3,"[9, 48, 46]",91.8
3,3,"[9, 48, 47]",92.8
3,3,"[9, 48, 49]",92.2
3,3,"[9, 48, 50]",93.6
4,4,"[9, 48, 32, 1]",91.4
4,4,"[9, 48, 32, 2]",90.3
4,4,"[9, 48, 32, 3]",89.8
4,4,"[9, 48, 32, 4]",90.5
4,4,"[9, 48, 32, 5]",90.5
4,4,"[9, 48, 32, 6]",90.8
4,4,"[9, 48, 32, 7]",89.9
4,4,"[9, 48, 32, 8]",89.6
4,4,"[9, 48, 32, 10]",89.8
4,4,"[9, 48, 32, 11]",90.0
4,4,"[9, 48, 32, 12]",90.7
4,4,"[9, 48, 32, 13]",90.6
4,4,"[9, 48, 32, 14]",90.2
4,4,"[9, 48, 32, 15]",91.9
4,4,"[9, 48, 32, 16]",89.5
4,4,"[9, 48, 32, 17]",91.1
4,4,"[9, 48, 32, 18]",90.8
4,4,"[9, 48, 32, 19]",89.7
4,4,"[9, 48, 32, 20]",91.3
4,4,"[9, 48, 32, 21]",89.4
4,4,"[9, 48, 32, 22]",91.9
4,4,"[9, 48, 32, 23]",90.1
4,4,"[9, 48, 32, 24]",91.7
4,4,"[9, 48, 32, 25]",91.4
4,4,"[9, 48, 32, 26]",91.0
4,4,"[9, 48, 32, 27]",91.5
4,4,"[9, 48, 32, 28]",89.4
4,4,"[9, 48, 32, 29]",91.2
4,4,"[9, 48, 32, 30]",90.1
4,4,"[9, 48, 32, 31]",91.5
4,4,"[9, 48, 32, 33]",92.0
4,4,"[9, 48, 32, 34]",89.3
4,4,"[9, 48, 32, 35]",89.6
4,4,"[9, 48, 32, 36]",89.9
4,4,"[9, 48, 32, 37]",89.4
4,4,"[9, 48, 32, 38]",89.6
4,4,"[9, 48, 32, 39]",90.2
4,4,"[9, 48, 32, 40]",89.5
4,4,"[9, 48, 32, 41]",90.9
4,4,"[9, 48, 32, 42]",90.8
