Iteration,Num_Features,Feature_Indices,Accuracy
1,1,[1],70.4
1,1,[2],85.8
1,1,[3],71.4
1,1,[4],73.8
1,1,[5],76.6
1,1,[6],73.2
1,1,[7],76.0
1,1,[8],70.8
1,1,[9],75.2
1,1,[10],71.8
1,1,[11],70.0
1,1,[12],71.4
2,2,"[2, 1]",82.6
2,2,"[2, 3]",83.4
2,2,"[2, 4]",84.8
2,2,"[2, 5]",96.0
2,2,"[2, 6]",83.8
2,2,"[2, 7]",82.8
2,2,"[2, 8]",85.6
2,2,"[2, 9]",81.4
2,2,"[2, 10]",81.2
2,2,"[2, 11]",81.2
2,2,"[2, 12]",82.2
3,3,"[2, 5, 1]",91.4
3,3,"[2, 5, 3]",91.0
3,3,"[2, 5, 4]",92.2
3,3,"[2, 5, 6]",90.2
3,3,"[2, 5, 7]",91.2
3,3,"[2, 5, 8]",91.6
3,3,"[2, 5, 9]",90.6
3,3,"[2, 5, 10]",92.0
3,3,"[2, 5, 11]",93.4
3,3,"[2, 5, 12]",90.2
4,4,"[2, 5, 11, 1]",86.4
4,4,"[2, 5, 11, 3]",87.2
4,4,"[2, 5, 11, 4]",90.0
4,4,"[2, 5, 11, 6]",87.2
4,4,"[2, 5, 11, 7]",90.2
4,4,"[2, 5, 11, 8]",90.0
4,4,"[2, 5, 11, 9]",87.0
4,4,"[2, 5, 11, 10]",88.4
4,4,"[2, 5, 11, 12]",86.2
5,5,"[2, 5, 11, 7, 1]",84.6
5,5,"[2, 5, 11, 7, 3]",86.6
5,5,"[2, 5, 11, 7, 4]",84.4
5,5,"[2, 5, 11, 7, 6]",83.8
5,5,"[2, 5, 11, 7, 8]",86.2
5,5,"[2, 5, 11, 7, 9]",82.0
5,5,"[2, 5, 11, 7, 10]",83.6
5,5,"[2, 5, 11, 7, 12]",87.0
6,6,"[2, 5, 11, 7, 12, 1]",81.4
6,6,"[2, 5, 11, 7, 12, 3]",82.2
6,6,"[2, 5, 11, 7, 12, 4]",83.8
6,6,"[2, 5, 11, 7, 12, 6]",84.0
6,6,"[2, 5, 11, 7, 12, 8]",80.4
6,6,"[2, 5, 11, 7, 12, 9]",82.2
6,6,"[2, 5, 11, 7, 12, 10]",83.2
7,7,"[2, 5, 11, 7, 12, 6, 1]",80.2
7,7,"[2, 5, 11, 7, 12, 6, 3]",79.0
7,7,"[2, 5, 11, 7, 12, 6, 4]",82.8
7,7,"[2, 5, 11, 7, 12, 6, 8]",79.4
7,7,"[2, 5, 11, 7, 12, 6, 9]",80.4
7,7,"[2, 5, 11, 7, 12, 6, 10]",81.0
8,8,"[2, 5, 11, 7, 12, 6, 4, 1]",82.2
8,8,"[2, 5, 11, 7, 12, 6, 4, 3]",77.6
8,8,"[2, 5, 11, 7, 12, 6, 4, 8]",77.4
8,8,"[2, 5, 11, 7, 12, 6, 4, 9]",80.6
8,8,"[2, 5, 11, 7, 12, 6, 4, 10]",82.8
9,9,"[2, 5, 11, 7, 12, 6, 4, 10, 1]",80.2
9,9,"[2, 5, 11, 7, 12, 6, 4, 10, 3]",76.2
9,9,"[2, 5, 11, 7, 12, 6, 4, 10, 8]",80.0
9,9,"[2, 5, 11, 7, 12, 6, 4, 10, 9]",79.0
10,10,"[2, 5, 11, 7, 12, 6, 4, 10, 1, 3]",75.8
10,10,"[2, 5, 11, 7, 12, 6, 4, 10, 1, 8]",77.4
10,10,"[2, 5, 11, 7, 12, 6, 4, 10, 1, 9]",77.8
11,11,"[2, 5, 11, 7, 12, 6, 4, 10, 1, 9, 3]",76.0
11,11,"[2, 5, 11, 7, 12, 6, 4, 10, 1, 9, 8]",76.2
12,12,"[2, 5, 11, 7, 12, 6, 4, 10, 1, 9, 8, 3]",75.8
